alpha,beta,r2,nobs,stock,method,observations
-0.0007891279633395669,1.2901380016696156,0.2766797979537945,243,TCL中环,contemporaneous,243
-0.0009469900728983106,0.9771969513991383,0.33276495825363817,243,TCL科技,contemporaneous,243
-0.001228394066465383,0.7766309172456374,0.3403929302385327,243,一汽解放,contemporaneous,243
-0.00021040532556563604,1.0207817532213606,0.2791660892125346,243,万华化学,contemporaneous,243
-0.002098740963256264,0.5744218446235518,0.09301904370410063,243,万泰生物,contemporaneous,243
-0.002275896322731775,0.9080344010528143,0.1809823385750584,243,万科A,contemporaneous,243
0.0006869511481913475,0.8721126631701179,0.2246605540697657,243,三一重工,contemporaneous,243
0.0014550778388659044,1.0819936148658948,0.18283810248367383,243,三七互娱,contemporaneous,243
-0.000105007330656015,1.2343458267434824,0.17732186958828466,243,三六零,contemporaneous,243
-0.0004633691544956253,0.3917451577459161,0.27409364571242545,243,三峡能源,contemporaneous,243
4.170721132221926e-05,1.4831909945515518,0.2819733176863961,243,三环集团,contemporaneous,243
0.003078194770927833,1.5108744024314817,0.17338675449618457,243,三花智控,contemporaneous,243
-0.001853421178378026,1.1516686503199343,0.27024731219192866,243,上汽集团,contemporaneous,243
-0.0009048120654191229,0.4877968608066827,0.22885287185383296,243,上海医药,contemporaneous,243
-0.0004117928365040656,0.5055306945617861,0.21480290242133881,243,上海机场,contemporaneous,243
-0.0008085432837256327,0.35905291614072693,0.13987315445935622,240,上海莱士,contemporaneous,240
0.0006339423655686159,0.0907904075992344,0.004737494162824651,243,上海银行,contemporaneous,243
-0.0006349566587582949,0.406039336072541,0.15762548370588736,243,上港集团,contemporaneous,243
0.001109141538535926,1.4569221428165515,0.29579703656735734,243,东方电气,contemporaneous,243
0.000769840112761388,0.7515970939231537,0.17659991652413787,243,东方盛虹,contemporaneous,243
-0.0005265754905046062,1.2294263699462729,0.4998322890990161,243,东方证券,contemporaneous,243
-0.0015177446746978793,1.882657250581814,0.6140364696619022,243,东方财富,contemporaneous,243
0.00040575531380955207,0.7955410008263397,0.17269667449696924,243,东方雨虹,contemporaneous,243
0.000539542488178551,0.06466881656708051,0.0008991365601553891,243,东鹏饮料,contemporaneous,243
-0.00044488313271102314,1.009201610817747,0.4977783600323017,243,中信建投,contemporaneous,243
0.0014026421200848624,0.6286252280605863,0.14349069506594025,243,中信特钢,contemporaneous,243
-0.0008321827868732972,1.2801856655796753,0.6392395982690726,243,中信证券,contemporaneous,243
0.000574695664338097,0.13601920713540933,0.00923238765398271,243,中信银行,contemporaneous,243
-0.0010331283742053068,1.8634031783040659,0.32038548862614247,243,中兴通讯,contemporaneous,243
0.0013626495650050125,0.6401841678338035,0.12133562934477071,243,中国东航,contemporaneous,243
0.0010368505703955962,1.007705105348626,0.17640402841247882,243,中国中免,contemporaneous,243
-0.000961303596006543,1.065846356412313,0.3178075491375081,243,中国中冶,contemporaneous,243
-0.0012511324788346187,0.9531797958580308,0.4019591419635775,243,中国中车,contemporaneous,243
-0.0009285010384952072,0.6988874705288393,0.32677243848298254,243,中国中铁,contemporaneous,243
-0.0013031939294748539,0.7822229373561835,0.2733183093939142,243,中国交建,contemporaneous,243
0.0002025469063451117,1.0623201704360707,0.3054085707034304,243,中国人保,contemporaneous,243
-0.0002128068143556115,1.0418788997045454,0.3785262544651524,243,中国人寿,contemporaneous,243
-0.0011558450635259694,0.919646909718273,0.2752217119748438,243,中国动力,contemporaneous,243
-0.0007492636053390812,0.7512660715773012,0.2838938002621234,243,中国化学,contemporaneous,243
0.0017343828797091393,1.2929264618022869,0.21907642638302116,243,中国卫通,contemporaneous,243
0.0003582079902845871,0.688748329672654,0.13792556181983773,243,中国国航,contemporaneous,243
0.0002283492362617012,1.285859883095112,0.4211158624442719,243,中国太保,contemporaneous,243
0.0011922039828147035,1.1580437123483787,0.27146455618397136,243,中国巨石,contemporaneous,243
0.0007440824899269504,0.8481555266194222,0.3629677417100088,243,中国平安,contemporaneous,243
-0.0006942981988510646,0.6976773328797752,0.2577426931366307,243,中国广核,contemporaneous,243
-0.0007910701511133406,0.5408364646079143,0.25908913828452773,243,中国建筑,contemporaneous,243
-0.0009925809614668487,0.48967453400025335,0.19277981917766218,243,中国核电,contemporaneous,243
4.362689100982761e-06,0.5380290180324236,0.13572611316394623,243,中国海油,contemporaneous,243
-0.0005517373778616945,0.3337467515486355,0.05136888883991486,243,中国电信,contemporaneous,243
-0.000563865341252716,0.8752535963597361,0.20992333689251863,243,中国电建,contemporaneous,243
