alpha,beta,r2,nobs,stock,method,observations
0.00022795796044224802,0.004654986456338758,3.61121075276305e-06,242,TCL中环,lagged,242
-9.673540436464098e-05,-0.11266759008792859,0.0044349276071234955,242,TCL科技,lagged,242
-0.00047729728580040776,-0.08757844216685974,0.004431052679845338,242,一汽解放,lagged,242
0.0005374021801316485,0.11076268084900148,0.0033043031401930323,242,万华化学,lagged,242
-0.0013896415973998495,-0.15963578922565064,0.0073476000002430375,242,万泰生物,lagged,242
-0.0015090920126622808,-0.04798958111455359,0.0005066786707665916,242,万科A,lagged,242
0.0016096505165891766,-0.15198339851886525,0.006997129276180458,242,三一重工,lagged,242
0.0025281841475599063,-0.17645403855746133,0.004911410900870994,242,三七互娱,lagged,242
0.0012055056335934543,-0.34672077750901575,0.014093170667725974,242,三六零,lagged,242
-2.465800154554545e-05,-0.05989265416282354,0.006805364065509467,242,三峡能源,lagged,242
0.001378122110536431,-0.1451202608806712,0.002720396980470885,242,三环集团,lagged,242
0.004089290490786435,0.2828777970406422,0.006092375966274766,242,三花智控,lagged,242
-0.0006348402596160442,-0.06902152440243875,0.0010333526455051922,242,上汽集团,lagged,242
-0.0004171092182254582,-0.08236366735178056,0.006613299997253019,242,上海医药,lagged,242
1.992374022178207e-05,0.04452262760228068,0.0017026886211090053,242,上海机场,lagged,242
-0.0004179167634847925,-0.07178544645002234,0.005584703391221635,240,上海莱士,lagged,240
0.0007735431472213273,0.0011303480604850091,7.397156147614936e-07,242,上海银行,lagged,242
-0.00029261095107773513,0.05754380670095924,0.003232317418098929,242,上港集团,lagged,242
0.002525095960287438,-0.17395771422745346,0.004302627507371426,242,东方电气,lagged,242
0.0015072397592167705,-0.11636172840657595,0.004270909935838452,242,东方盛虹,lagged,242
0.000649258429061812,-0.09721283388927748,0.0032587176479174085,242,东方证券,lagged,242
0.0002726639129768313,-0.19634300747987174,0.006939811346758806,242,东方财富,lagged,242
0.0011404129977526285,-0.04285683848290239,0.0005068123036084948,242,东方雨虹,lagged,242
0.0005065193185865869,0.13461118806945194,0.0038917678090024665,242,东鹏饮料,lagged,242
0.0005163113148261735,-0.04434898542373825,0.0010137916518846435,242,中信建投,lagged,242
0.001936470399469981,-0.027487927855665506,0.00027501547490338396,242,中信特钢,lagged,242
0.00045274963158311806,-0.16331144443702286,0.011065286638389793,242,中信证券,lagged,242
0.000663685945003289,0.1757142930201119,0.015690695311957104,242,中信银行,lagged,242
0.0003980911022232903,0.21797964989935228,0.004448037401077687,242,中兴通讯,lagged,242
0.002075975997117079,-0.17849437110676908,0.009529320438517952,242,中国东航,lagged,242
0.0020656837398008317,-0.20923808611496186,0.007674370361988925,242,中国中免,lagged,242
-6.699010527803505e-05,0.06200672699377481,0.0010987910107699284,242,中国中冶,lagged,242
-0.0002509943113563003,-0.14932687863713873,0.010356842369015351,242,中国中车,lagged,242
-0.00021845014807400306,-0.029771563426848127,0.0006304733607760404,242,中国中铁,lagged,242
-0.00046157323641928026,-0.10937096421057041,0.005595395364140887,242,中国交建,lagged,242
0.0012040243496351784,-0.008782882877862816,2.1676202276443846e-05,242,中国人保,lagged,242
0.000810389571873739,-0.08824931023127708,0.002825545758563419,242,中国人寿,lagged,242
-0.00018707160077883575,-0.23397696769822401,0.018072781536427884,242,中国动力,lagged,242
7.974570998655256e-05,-0.09541552353094652,0.004881561086613417,242,中国化学,lagged,242
0.0028955841772659034,-0.08276434653096171,0.0009056739247842449,242,中国卫通,lagged,242
0.0009018714888839819,0.07280747594908762,0.00155180020041501,242,中国国航,lagged,242
0.0014008571528065813,-0.03631378894638653,0.0003468350636830486,242,中国太保,lagged,242
0.0020969232484573186,0.12413266670384462,0.00316068613317233,242,中国巨石,lagged,242
0.0015511010655271168,-0.05394228715157401,0.0015162414694152027,242,中国平安,lagged,242
-8.354194511727439e-07,-0.017286989357233204,0.00016544021024000877,242,中国广核,lagged,242
-0.00027731185501179593,-0.003853410084516312,1.3609301201311652e-05,242,中国建筑,lagged,242
-0.0005557682533469539,0.031227217131488863,0.0008028047640473712,242,中国核电,lagged,242
0.0005516753307186599,-0.09601244438568993,0.004359865830739218,242,中国海油,lagged,242
-0.000156981212989351,-0.1261749244228624,0.0073664148179656275,242,中国电信,lagged,242
0.00030516326451611626,-0.04770931926841543,0.0006423319754842449,242,中国电建,lagged,242
-4.1236710250489034e-05,0.03727278951237893,0.0009525041153000124,242,中国石化,lagged,242
0.0010733351121260965,-0.05327621168814348,0.0012972939133726324,242,中国石油,lagged,242
0.00024965755827701584,-0.05865307730075681,0.002067746202679688,232,中国神华,lagged,232
-0.0002805814183979386,-0.057473754172426526,0.003949572731703932,242,中国移动,lagged,242
0.00038967871807139327,-0.058606304538376564,0.001076691211541081,242,中国联通,lagged,242
0.00043085754463958645,-0.026604496667298416,0.0002894544717155778,242,中国能建,lagged,242
0.00016103764745429043,-0.17465265849981954,0.008194161834080171,238,中国船舶,lagged,238
-0.000140061799956533,-0.21540710228890536,0.02257349576251,242,中国通号,lagged,242
0.0008892568049349348,-0.10486474487752565,0.0031677234609185367,147,中国重工,lagged,147
-0.0002890942136374944,-0.1023392873868658,0.00838057853583607,242,中国铁建,lagged,242
0.0026398669730640155,-0.06723106853511049,0.0007699279988629959,242,中国铝业,lagged,242
0.000812051865387464,-0.11114146999869468,0.0027394918583617534,242,中国银河,lagged,242
0.0004910297659615898,0.13376560623490705,0.013028617090054428,242,中国银行,lagged,242
0.0021436217660424956,-0.1115813186188003,0.0015691977464058482,242,中微公司,lagged,242
0.0021458071880382954,-0.13105658206064327,0.0016805385649121263,242,中油资本,lagged,242
0.00032506588403726617,-0.14545727643425393,0.011583612648285224,242,中泰证券,lagged,242
-0.00012881547537288223,0.03947179151918177,0.000666751886706396,242,中海油服,lagged,242
0.0005879635189725589,-0.13608912718392377,0.004986449991014386,242,中煤能源,lagged,242
0.0013517646669033226,0.1473354320043773,0.0022573619248729138,232,中科曙光,lagged,232
0.0012423436953973282,-0.08117842793612358,0.0019638006394346874,242,中联重科,lagged,242
8.860572233158269e-05,-0.1531394241308205,0.008164255561769918,242,中航光电,lagged,242
0.0007145863945440886,-0.09168475156065481,0.003778069440003029,242,中航机载,lagged,242
0.0009542843044512597,-0.02252679507368799,8.27273346531987e-05,242,中航沈飞,lagged,242
-1.0430052169659075e-06,-0.01812272732976683,9.595977592702365e-05,242,中航西飞,lagged,242
0.001965716433645526,-0.3955405729758924,0.0183161969648169,242,中芯国际,lagged,242
0.0005759624196821786,-0.011065321222584537,5.8019563832556464e-05,242,中远海控,lagged,242
0.0006092765939433374,-0.16096504316008772,0.0042308617082805755,242,中远海能,lagged,242
0.0005980111913464385,-0.09360043545829544,0.0026284829110889696,222,中金公司,lagged,222
0.003074931469501033,0.019902814624721307,5.523619653258205e-05,242,中金黄金,lagged,242
0.007795881000005721,-0.001133939739867397,5.349452791847398e-08,242,中际旭创,lagged,242
0.0001566792584343828,-0.0804485521267892,0.009391639444195188,242,云南白药,lagged,242
0.003991405513269238,0.05848139391096237,0.0004933608372971188,242,云铝股份,lagged,242
-0.0007271061811131969,0.019864374047955602,0.00026460967176611394,242,五粮液,lagged,242
0.00014741708220155432,0.07659077068763348,0.00441621280793969,242,交通银行,lagged,242
0.00017093484452676734,-0.07458835030958573,0.002843409990956003,242,京东方A,lagged,242
-0.00044368748676492005,-0.06265417523933764,0.004083609229380225,242,京沪高铁,lagged,242
0.0024974951221520556,-0.4826664037990918,0.02122806118288889,242,亿纬锂能,lagged,242
0.0001959064410680126,-0.029628117960151364,0.00023739567016201057,242,亿联网络,lagged,242
-0.0007475746386818577,-0.08642264195865174,0.002610074814471952,242,今世缘,lagged,242
0.00028097241556238875,-0.14785337369474408,0.014804629708103922,242,伊利股份,lagged,242
-0.0008873125828947928,-0.18216485726837006,0.003965824372737514,242,传音控股,lagged,242
-0.0011033772073474884,-0.20972497668475354,0.018137925279969824,242,保利发展,lagged,242
0.0014719115754358147,-0.21167200900386968,0.0069819431241771035,222,信达证券,lagged,222
0.0033916426668334707,0.3254602378699784,0.008194589867636992,242,兆易创新,lagged,242
0.004817384522667215,-0.21153490226264401,0.0029929318313445252,242,先导智能,lagged,242
0.0003584394436869976,-0.15927648087194968,0.008797234281001987,242,光大证券,lagged,242
2.541897272560371e-06,-0.0017585889506669256,1.9145926705155247e-06,242,光大银行,lagged,242
0.00025825079996528945,-0.1361422633459821,0.007293636971099415,242,兖矿能源,lagged,242
-0.0006483575604917518,0.09934447343194105,0.007830446445231343,242,公牛集团,lagged,242
0.0012210929538005238,-0.12056079698508211,0.004678538531750487,242,兴业证券,lagged,242
0.0007485115275097588,-0.06104793335581256,0.0023175471005877357,242,兴业银行,lagged,242
0.0017866502361869154,0.2077602837207958,0.02361742426047464,242,农业银行,lagged,242
0.0007154281053464099,-0.11625893690753998,0.004261886640024692,242,分众传媒,lagged,242
0.0015247018266852704,-0.09585849362631355,0.0013075464792668967,242,包钢股份,lagged,242
-0.00014104245582304554,0.01859528074317551,0.00025103877854248946,242,北京银行,lagged,242
-0.0008814502626382297,0.08823082342885857,0.0033883380375991923,242,北新建材,lagged,242
0.002455052322269773,-0.16530503342235017,0.004755967396293248,242,北方华创,lagged,242
0.003924767436173382,-0.19304531001092795,0.004032464262403779,242,北方稀土,lagged,242
0.00096831909168409,0.016555690917690748,6.942528141440363e-05,242,华东医药,lagged,242
-2.2890269332055593e-05,-0.0382843461029162,0.0012122729320664938,242,华兰生物,lagged,242
-0.0013971884038182184,0.15691737569201347,0.004197917518250938,242,华利集团,lagged,242
0.0014845137936968641,0.24022132770847754,0.0048191503776441325,242,华勤技术,lagged,242
0.004099732739885421,-0.022518543818481063,5.8874857343238496e-05,242,华友钴业,lagged,242
0.0008951074705113148,0.02892852754610413,0.0003468560625430328,242,华域汽车,lagged,242
-0.00022207041604195934,0.02199241452094987,0.0002667116623319421,242,华夏银行,lagged,242
0.0006571000316353361,-0.6354305898524386,0.04782778318723291,232,华大九天,lagged,232
0.0017068901764804925,-0.04334499279173594,0.0004957443489886915,242,华泰证券,lagged,242
-0.0004826460029123938,0.013394713754460358,0.00013822617992020891,242,华润三九,lagged,242
0.0012266382180138294,-0.5085529215920505,0.04584047862674556,242,华润微,lagged,242
-9.942357684471209e-05,-0.0018945000199760281,1.7849859546004154e-06,242,华电国际,lagged,242
0.0007516504040203279,0.053016753499334046,0.0011984988033584276,242,华能国际,lagged,242
4.0800626424357606e-05,0.0163295111903205,0.0002660650326055114,242,华能水电,lagged,242
0.001891758039556747,0.0362419331878758,0.0003476652860560092,242,华鲁恒升,lagged,242
0.0003949345134123595,-0.31291379601445646,0.013650013719747944,242,卓胜微,lagged,242
0.0006959393655347151,-0.108355616402907,0.007780569316724439,242,南京银行,lagged,242
0.0018904259536644096,-0.012182370461981437,3.3918562433066235e-05,242,南山铝业,lagged,242
0.0011689589966639212,-0.08866114504837541,0.002626728470095263,242,南方航空,lagged,242
-0.000152168007883012,0.39411081421701366,0.03005971941718899,242,卫星化学,lagged,242
0.0003950429673491366,-0.02734597153175794,0.00080551288603814,242,双汇发展,lagged,242
-0.0006142617872820354,-0.07002593458564485,0.0011817878184396946,242,古井贡酒,lagged,242
0.0002552850350106713,-0.15557465665503512,0.0042678442721832965,242,合盛硅业,lagged,242
-0.000693454769589851,-0.054039875888706,0.0026891515488519646,242,同仁堂,lagged,242
0.0015036034092457196,-0.3084376397179906,0.009236009365378273,242,同花顺,lagged,242
0.0016934768650693115,-0.007373891444047639,2.117027156778306e-05,242,四川路桥,lagged,242
0.0011541318768299926,0.010045121691640208,3.183893667568771e-05,242,国信证券,lagged,242
-0.0007732394877271941,0.15136136177444795,0.017875985826026897,242,国投电力,lagged,242
0.00048705277845739693,-0.07012707805072552,0.00223943219814704,242,国投资本,lagged,242
0.0009340220675142552,-0.15235090605232743,0.008358513091711872,240,国泰海通,lagged,240
-1.213099910041005e-05,-0.1376355927327052,0.010047342656372082,242,国电南瑞,lagged,242
0.000761689028910846,0.04783066408245082,0.0011369680019130968,242,国电电力,lagged,242
0.0029890509959793437,0.10518782909039476,0.0013911096933876266,242,国轩高科,lagged,242
0.0013684075652414891,-0.418831645024778,0.037139940060441745,242,圆通速递,lagged,242
0.0013258403779641,-0.29326658184883764,0.007329340016319796,242,圣邦股份,lagged,242
0.0009393585390691873,-0.17815159851977264,0.006539133490761184,242,士兰微,lagged,242
0.00047339011876974265,0.05993075478639687,0.0012791600518998747,242,复星医药,lagged,242
0.001102013127505818,-0.14715359114119844,0.0017933915447923,242,大全能源,lagged,242
0.0011442400843746092,0.09929631462803945,0.002214277995123415,242,大华股份,lagged,242
-0.0007369056363692448,-0.1320805580281401,0.021088127737411644,242,大秦铁路,lagged,242
0.00025613780877379824,-0.508339120321378,0.02883205963301838,242,天合光能,lagged,242
-0.0006090378359478422,-0.18422345815079372,0.01944626250820425,242,天坛生物,lagged,242
0.006189670041874697,0.04185184077189598,5.6910947443089555e-05,242,天孚通信,lagged,242
0.004214733521851668,0.04316120374942359,0.00017134681674224606,242,天赐材料,lagged,242
0.0027359890346176263,-0.11835572755282037,0.0014924862574740017,242,天齐锂业,lagged,242
0.0019200169058722683,-0.11352729476053929,0.0021823151387398987,242,宁德时代,lagged,242
-0.0008029944259648681,0.11118666899273474,0.00941958756458805,242,宁沪高速,lagged,242
0.0009220925041311334,0.08512061384076855,0.003219623818782269,242,宁波银行,lagged,242
0.0013259587718366162,0.0737610335688553,0.00148018916849324,242,宇通客车,lagged,242
0.0011732999454463814,0.0064811004574543835,1.0442040382807605e-05,242,宝丰能源,lagged,242
-0.0008919194944133346,-0.023189075624849096,0.00011686170102409577,242,宝信软件,lagged,242
0.000500456308824004,0.06411592223544116,0.0017633062007488265,242,宝钢股份,lagged,242
0.0037621375512402007,0.3901195923748808,0.0069516348859804955,242,寒武纪,lagged,242
0.00087825233551908,0.4523601272565997,0.02411987689053441,242,小商品城,lagged,242
0.0025354202877532314,-0.09024391538103878,0.001229512510755204,242,山东黄金,lagged,242
-1.976797588602668e-05,0.20805719957822738,0.01407925195335269,242,山西汾酒,lagged,242
-0.0004675489558093812,-0.10911357530206346,0.0034582803405848184,242,山西焦煤,lagged,242
0.002128214000623415,-0.06544524637760282,0.0007232118192691539,242,山金国际,lagged,242
-0.0006556465693187544,0.07012538937019278,0.005160774221255271,242,川投能源,lagged,242
0.005070684112788606,0.3677145351850294,0.008554147729677886,242,工业富联,lagged,242
0.0008398423368039554,0.13369505855715902,0.015276937296687554,242,工商银行,lagged,242
0.00229686575793828,-0.07221826685861496,0.000952483219100908,242,巨化股份,lagged,242
0.00020944540804751694,0.056998946721545374,0.0030193342855449057,242,平安银行,lagged,242
0.0019066068232773874,-0.18191323232772166,0.008108137609311505,242,广发证券,lagged,242
-3.446266990989803e-05,-0.23303590335828367,0.015592728332277428,242,广汽集团,lagged,242
0.0009728475305644899,-0.07940347319534843,0.0007850236762506624,242,康龙化成,lagged,242
0.0006153329132792864,0.05183836487953612,0.0019437592818530858,242,建设银行,lagged,242
0.002085879578557959,-0.15169005586509932,0.005343568180083302,242,徐工机械,lagged,242
0.002322300039642977,-0.31806143746428706,0.012986167227027057,242,德业股份,lagged,242
0.0010826231972263728,-0.2315558801829355,0.0076785520255937545,242,德赛西威,lagged,242
0.0033819311707708613,0.11759295018667341,0.0019516565941549713,242,思源电气,lagged,242
0.0019242099986648711,0.11351105091016328,0.0037359729825495736,242,恒力石化,lagged,242
0.0013486194109163974,0.034788518740134056,0.0002810751306215886,242,恒瑞医药,lagged,242
0.0009353253321752856,-0.06500407581707043,0.0005967066897000217,242,恒生电子,lagged,242
0.003662047374310178,-0.022407726467985493,4.967029748825791e-05,242,恒立液压,lagged,242
0.0031797614896278492,-0.16806010300738453,0.0029034118728078484,232,恩捷股份,lagged,232
7.450067490316105e-05,0.03387743679372227,0.0007135731627460062,242,成都银行,lagged,242
0.002477536658667765,0.17096053907589723,0.002365331545371663,242,拓普集团,lagged,242
-0.0008960901783783178,-0.057177326073923604,0.002097962256206398,242,招商公路,lagged,242
-0.00033455420674117445,-0.0682917520571194,0.0017288141951122826,242,招商蛇口,lagged,242
-7.321664656779624e-05,-0.13940609113054273,0.01131305830429541,242,招商证券,lagged,242
0.0021354211413313574,-0.18008881809256894,0.0045031842122512655,242,招商轮船,lagged,242
0.0005594423750738161,0.07039589973290467,0.0035619061151340725,242,招商银行,lagged,242
-0.0004640845534241099,0.07035972058389822,0.0012945777170393358,242,新产业,lagged,242
0.0019518161895849782,0.03326161897564324,0.00024863606080793854,242,新华保险,lagged,242
0.0008050635252055268,0.13992537332735816,0.008505476922354371,242,新和成,lagged,242
0.0003002718353135369,-0.009028419314200342,4.3523243272725054e-05,236,新奥股份,lagged,236
0.0005499512078485203,-0.30238946595614846,0.03607779815229839,242,新希望,lagged,242
0.008196233071051565,0.007877214316528484,2.2751088250005935e-06,242,新易盛,lagged,242
0.00013859645047776994,-0.06942154584609488,0.002359400072148632,242,方正证券,lagged,242
0.0006017281060061283,-0.030825249884162687,0.00024181167309655915,242,时代电气,lagged,242
0.0013163116193059883,-0.2876529680359896,0.005966185648234812,242,昆仑万维,lagged,242
-1.0089655559868235e-05,-0.025436960683659332,0.00017819789184903012,242,星宇股份,lagged,242
0.00045352425631802666,0.030954966356236763,0.00037714757474893723,242,春秋航空,lagged,242
-0.0002488005978387274,-0.05519115693653863,0.000381082820025469,242,晶澳科技,lagged,242
0.0014605107038475145,-0.2853994996155053,0.009425563286487582,242,晶盛机电,lagged,242
-0.000457397281896745,-0.2214436424122706,0.008272593868312916,242,晶科能源,lagged,242
-0.0008203997766773581,-0.14321012301383626,0.0033670786384580875,242,智飞生物,lagged,242
0.0005151993153697439,-0.030012468300658054,0.0006259147603486781,242,杭州银行,lagged,242
-0.00017359297179587215,-0.08532645549887805,0.005118018515195222,242,格力电器,lagged,242
-0.0007108000343145794,-0.09869638223142702,0.002374520926931356,242,欧派家居,lagged,242
0.0007117829254606952,0.49748064753633736,0.025460217072238334,242,歌尔股份,lagged,242
0.001244375522465564,-0.0320249801153248,0.00020457785805538808,242,正泰电器,lagged,242
0.0005970883119909487,-0.0055545284699195785,6.4493646213525935e-06,242,比亚迪,lagged,242
0.0001408265855457552,-0.10089304521245904,0.006179956803496478,242,民生银行,lagged,242
0.0016935172574208202,-0.2574284391508837,0.011086570824839992,242,汇川技术,lagged,242
0.0005166229432665572,0.060698927061904356,0.00220027363422981,242,江苏银行,lagged,242
0.004460303668658089,0.28351848317378747,0.009831874693510545,242,江西铜业,lagged,242
0.003312779302402156,0.16856812956851808,0.0017691566094605315,242,沪电股份,lagged,242
0.0012355062266394367,-0.2737777643458883,0.009384657263227791,242,沪硅产业,lagged,242
0.0006435170135413557,-0.19604418123330364,0.005039911630187577,242,泰格医药,lagged,242
0.00016838756860347785,0.030972145077892366,0.0002754394028759988,242,泸州老窖,lagged,242
-0.000874320711073294,0.002709888837818711,5.48753345863684e-06,242,洋河股份,lagged,242
0.004972504503751628,0.21849280185327102,0.005411115329714611,242,洛阳钼业,lagged,242
-0.00010164988670025195,-0.09989245211238261,0.005095437165450578,242,浙商证券,lagged,242
0.00044942475855157076,0.0794598684738834,0.00511465854071369,242,浙商银行,lagged,242
-0.00013712729471915407,0.07580806541314293,0.003526633485555819,242,浙能电力,lagged,242
0.0012191655596140226,-0.16371688296089995,0.010091383507752627,242,浦发银行,lagged,242
0.0015790967873787747,0.19619741883000422,0.004272706698714601,242,浪潮信息,lagged,242
0.0025435532246049597,0.11883836564133433,0.0009608582811575506,242,海光信息,lagged,242
0.0018846801970894898,-0.018373926873082508,5.545813497254137e-05,242,海南机场,lagged,242
0.0009182252816005967,-0.07985780216151994,0.0018504805803826185,242,海大集团,lagged,242
-0.00064741097856369,0.01212866524784001,0.00010206014472735614,242,海天味业,lagged,242
4.4659960562769415e-05,-0.08319034852784668,0.0028421497321350353,242,海尔智家,lagged,242
0.00023010259876035666,0.07597751729907243,0.002568896196213588,242,海康威视,lagged,242
1.965539447407259e-05,0.0035903713017544636,4.976878478002433e-06,242,海螺水泥,lagged,242
-0.0007468663897515796,0.2954404431560262,0.02650268350058549,18,海通证券,lagged,18
0.0010382849299355726,-0.28496067547103054,0.006343571662484115,242,润泽科技,lagged,242
0.004456861412745257,0.15479652966321425,0.0014775053365819746,242,深南电路,lagged,242
0.000592715652965908,-0.2859218081347634,0.040712045379130646,242,温氏股份,lagged,242
0.001454517068185136,-0.1506313085982306,0.006881280768642473,242,潍柴动力,lagged,242
-0.00010364825867919343,-0.2779973292390353,0.0156805550381931,242,潞安环能,lagged,242
0.0027829610798384705,0.0426485442213729,0.00020381346518505428,242,澜起科技,lagged,242
-0.0003176805369096568,-0.15692695350370012,0.009385917956857726,242,爱尔眼科,lagged,242
-0.0005429593476729822,-0.04299016664697644,0.00039860025545479516,242,爱美客,lagged,242
-0.0007278944793567341,-0.06612464283298188,0.004816277484562481,242,片仔癀,lagged,242
0.0015376642788699295,-0.0676046623131864,0.0015935996163427557,242,牧原股份,lagged,242
0.0030022747295365662,-0.2558620789500492,0.009869754979321077,242,特变电工,lagged,242
0.002806721569304345,0.019940737881411458,4.864681497174228e-05,242,璞泰来,lagged,242
0.005321720335939382,0.2178776713318638,0.002918874050567566,242,生益科技,lagged,242
0.0016926143247436578,-0.11502604122748336,0.0011897684395735242,242,用友网络,lagged,242
0.0003661014957157104,-0.06638706452679627,0.0023764110446905518,242,申万宏源,lagged,242
-4.450578218255952e-05,-0.09837946825792736,0.014192168563710084,242,白云山,lagged,242
0.0026196969199977858,0.057101438973513524,0.0002848885228963205,242,百利天恒,lagged,242
0.0026145842284510286,-0.1714809335108755,0.006312006732965725,242,盐湖股份,lagged,242
0.0029111262428384017,-0.09640156558943522,0.0009692306590343147,242,盛美上海,lagged,242
-0.0009368864747905758,0.04513920083688335,0.00016145639017728364,242,石头科技,lagged,242
0.000218163183237742,-0.07475162022061098,0.0012144860419187609,242,福斯特,lagged,242
0.000636468237072065,-0.06654750765312228,0.0017422001270602783,242,福耀玻璃,lagged,242
-0.0005696186004532041,0.02705190462988606,0.00010078032822158356,242,福莱特,lagged,242
0.00040325134706822136,-0.06968094860775342,0.0007303125352580153,242,科伦药业,lagged,242
0.0005271873094645498,0.018530530745418453,8.24898617410863e-05,242,科大讯飞,lagged,242
0.0018863206271787585,0.12840629588582864,0.001761861086624128,242,立讯精密,lagged,242
0.0014459909842784147,-0.12936716311984148,0.003057820438614911,240,紫光国微,lagged,240
0.00011425292041593814,-0.031524591186701686,0.00014937664948666551,242,紫光股份,lagged,242
0.003860227734200296,-0.14550843569459443,0.003611029553188372,242,紫金矿业,lagged,242
0.00039047706119274236,-0.08423799558394887,0.002349718799585565,242,红塔证券,lagged,242
-0.0007528578556819774,-0.1384397261437588,0.003663737595370975,242,纳思达,lagged,242
0.0004976465173502578,-0.04704496204666482,0.0012147777515669755,242,美的集团,lagged,242
0.0001876996283397866,-0.005660238009273455,7.167399158403143e-06,242,联影医疗,lagged,242
0.00020874832663583725,-0.07152396788991325,0.0013855452553017678,242,航发动力,lagged,242
0.0003378021771873592,-0.27649624374632065,0.01082244943346089,242,芒果超媒,lagged,242
0.0013350171771696962,0.12235403529538891,0.003873742849363815,242,荣盛石化,lagged,242
0.0025355887951605096,0.24658209582118717,0.006988988543491392,242,药明康德,lagged,242
0.002350108050427119,-0.11286913059912332,0.0008832370404247003,242,蓝思科技,lagged,242
0.005070918604429435,0.07396774435154607,0.0009060205608488747,237,藏格矿业,lagged,237
0.0011814718430147003,0.02167306914309461,8.636467055112007e-05,242,豪威集团,lagged,242
-0.00010292009298222353,-0.015029785146773889,0.00018529814647760823,242,贵州茅台,lagged,242
5.1763115501328796e-05,-0.024702421603357227,0.00011455571416540966,242,赛力斯,lagged,242
0.0030482334561446273,-0.07071705573102466,0.0005197383146603451,242,赣锋锂业,lagged,242
-0.0009815570537604784,0.13413396768993213,0.007055693933096796,242,迈瑞医疗,lagged,242
0.00013984579250206114,-0.06943460817800556,0.0005633332773909983,242,通威股份,lagged,242
8.007023004322195e-05,0.18148997951752444,0.022678011502283435,242,邮储银行,lagged,242
0.0012281924926819078,-0.31441911927233945,0.010787867533072037,242,金山办公,lagged,242
-0.00012711640483594974,-0.2401664622193092,0.03128371466450486,242,金龙鱼,lagged,242
0.003083566488259724,0.05121043438139962,0.0003806982724975372,242,铜陵有色,lagged,242
-0.00020896007313309594,-0.04872579409481494,0.0008733781570480215,242,长城汽车,lagged,242
-0.00011783772461464918,-0.051245929928877505,0.0012011974349415144,242,长安汽车,lagged,242
0.00011775527561904721,0.0535894157376719,0.000504000864066878,242,长春高新,lagged,242
-0.00017742284899014581,0.05823844562285356,0.005523341261616466,242,长江电力,lagged,242
2.325295135167829e-05,0.1265222420362379,0.002881004068521542,242,长电科技,lagged,242
2.4599064340402783e-05,0.5440664450175308,0.037014580271040876,240,闻泰科技,lagged,240
0.00470941994185825,-0.49151576969696525,0.016733265615216042,242,阳光电源,lagged,242
0.0015904123940199142,-0.2107337028399133,0.0031659032504215423,242,阿特斯,lagged,242
