alpha,beta,r2,nobs,year_month,observations,stock,method
-0.0016286644907124075,0.22669458959877353,0.012953430999128934,17,2025-01-01,17,TCL中环,lagged
0.006364824645956573,-1.041790416729867,0.14415763652352231,18,2025-02-01,18,TCL中环,lagged
-0.00024953263274336314,0.09919800884955754,0.001802198659441756,21,2025-03-01,21,TCL中环,lagged
-0.005878199080027183,0.512246826409282,0.09859857738410538,21,2025-04-01,21,TCL中环,lagged
-4.188607198140227e-05,-0.3526063714693104,0.03158656976486485,19,2025-05-01,19,TCL中环,lagged
0.0012912487694314492,-0.6721542148879636,0.09387335974966726,20,2025-06-01,20,TCL中环,lagged
0.008333088049551867,-2.188459284407933,0.11670778965506101,23,2025-07-01,23,TCL中环,lagged
0.0031125201470138747,-0.47846571353176903,0.10741672852212991,21,2025-08-01,21,TCL中环,lagged
0.004474290044665184,-0.21444890400657254,0.003770405088861284,22,2025-09-01,22,TCL中环,lagged
0.0034852522732890822,-0.418281616134377,0.030353715948123194,17,2025-10-01,17,TCL中环,lagged
0.001223163088366246,0.5319528410541354,0.025204913188514033,20,2025-11-01,20,TCL中环,lagged
-0.00370023787071399,-0.10837266360454723,0.002375032138840938,23,2025-12-01,23,TCL中环,lagged
0.0007744026588907356,-0.10060138090704297,0.002836609009098656,17,2025-01-01,17,TCL科技,lagged
-0.0037041539790572215,-0.3596931161529918,0.05239571410072685,18,2025-02-01,18,TCL科技,lagged
-0.0018352560840707963,-0.20790376106194697,0.021329179104117024,21,2025-03-01,21,TCL科技,lagged
-0.0023102753846125125,0.4109374451392555,0.06565393704282396,21,2025-04-01,21,TCL科技,lagged
0.003199020131379653,-1.232660021859621,0.26718345755986295,19,2025-05-01,19,TCL科技,lagged
0.0007690460759094307,-0.17251027055021584,0.012112193707367047,20,2025-06-01,20,TCL科技,lagged
0.00389146369496903,-1.0491009629472443,0.06933417313011636,23,2025-07-01,23,TCL科技,lagged
0.0037631182214434467,-0.32463341452255606,0.050660837679527115,21,2025-08-01,21,TCL科技,lagged
-0.0028613331231078756,-0.23176042954007764,0.02738088308272646,22,2025-09-01,22,TCL科技,lagged
0.00022411366751857661,-0.0747491261294943,0.0026976695691611763,17,2025-10-01,17,TCL科技,lagged
-0.0028675939768098464,-0.15454694735272367,0.013975534741193063,20,2025-11-01,20,TCL科技,lagged
0.006199085682033552,-1.1374661410122267,0.22206074021241418,23,2025-12-01,23,TCL科技,lagged
-0.0003838378810852453,0.10614111196630331,0.010794202573626954,17,2025-01-01,17,一汽解放,lagged
0.000827818524915556,0.0028281068809112575,3.213227166676269e-06,18,2025-02-01,18,一汽解放,lagged
0.0008476214776432234,0.16535834885887282,0.03395544296708508,21,2025-03-01,21,一汽解放,lagged
-0.0057522597750291745,-0.33625991818656903,0.0503235887304041,21,2025-04-01,21,一汽解放,lagged
0.0005787602432298977,-0.4932354458752448,0.07385201752540405,19,2025-05-01,19,一汽解放,lagged
-0.0021597584179074043,0.2571957100687482,0.027821464224566328,20,2025-06-01,20,一汽解放,lagged
0.0004438937979326438,0.10140880293431152,0.0012571533312343286,23,2025-07-01,23,一汽解放,lagged
0.002727599866540865,-0.3687869361921051,0.03966450462747251,21,2025-08-01,21,一汽解放,lagged
-0.0009418985136596314,0.034319306194154034,0.004005449905069569,22,2025-09-01,22,一汽解放,lagged
0.0014947809858852801,-0.03521172079454293,0.0021875980924206395,17,2025-10-01,17,一汽解放,lagged
5.697245646403535e-05,0.04718854329150137,0.003235780027033952,20,2025-11-01,20,一汽解放,lagged
-0.002268590887816779,-0.07639505198072674,0.0029730808827094224,23,2025-12-01,23,一汽解放,lagged
-0.0014969121869015957,-0.37093282449710846,0.1198204113453949,17,2025-01-01,17,万华化学,lagged
-0.0016652132524153352,1.044838704942337,0.20721519765241192,18,2025-02-01,18,万华化学,lagged
-0.0008361688402421983,0.3260200279459711,0.04680825911443287,21,2025-03-01,21,万华化学,lagged
-0.010000422967330428,-0.23149796738555764,0.021319784215614868,21,2025-04-01,21,万华化学,lagged
0.0008930761452721628,-0.3025747471441015,0.017282539549115183,19,2025-05-01,19,万华化学,lagged
0.0003630337579461429,-0.27309432089358443,0.03786576741775072,20,2025-06-01,20,万华化学,lagged
0.004948647781583758,0.5513327674881524,0.007929719685310754,23,2025-07-01,23,万华化学,lagged
0.0021117306166267683,0.7402124430235801,0.23172296388129976,21,2025-08-01,21,万华化学,lagged
-0.0017058741012281964,0.32947275918596375,0.03007906496333901,22,2025-09-01,22,万华化学,lagged
-0.0035531922576401086,0.07446873167732046,0.0029653124044999313,17,2025-10-01,17,万华化学,lagged
0.004416094369118045,0.34359823314746746,0.021020938922041932,20,2025-11-01,20,万华化学,lagged
0.006838202730617007,-0.6736402238220776,0.0744787476516161,23,2025-12-01,23,万华化学,lagged
-0.0003939391772550629,-0.8332129370371476,0.2755318054041044,17,2025-01-01,17,万泰生物,lagged
-0.00012096822158179452,-0.21716729377571842,0.004658515957023157,18,2025-02-01,18,万泰生物,lagged
-0.0023322153877503482,-0.3367341057289241,0.08358823747986555,21,2025-03-01,21,万泰生物,lagged
0.0005869675974102086,-0.356566980612181,0.10614608813333504,21,2025-04-01,21,万泰生物,lagged
0.004504732691230076,-1.0920670102806795,0.16057597947307922,19,2025-05-01,19,万泰生物,lagged
-0.005798998579497891,-0.05509152155941249,9.6761829579739e-05,20,2025-06-01,20,万泰生物,lagged
-0.0011572174310628797,-0.23264446734770142,0.005807598593508434,23,2025-07-01,23,万泰生物,lagged
-0.001486267709913373,0.49676556184777276,0.06766496329101979,21,2025-08-01,21,万泰生物,lagged
-0.001853062026557968,0.1929034995582947,0.019275273048362296,22,2025-09-01,22,万泰生物,lagged
-0.00021942934366247146,0.09555934862683335,0.007046965061442534,17,2025-10-01,17,万泰生物,lagged
-0.007852898256853865,0.030219826348482803,0.0006257889904498493,20,2025-11-01,20,万泰生物,lagged
-0.0026440859634689192,-0.11467180395443681,0.004048829885761163,23,2025-12-01,23,万泰生物,lagged
0.0016964948631226426,-0.042047116147423666,0.00024223367290965303,17,2025-01-01,17,万科A,lagged
0.004293398365656495,-0.12197067184663624,0.000818495312233658,18,2025-02-01,18,万科A,lagged
-0.004362479273404752,0.06991616208663234,0.001973956119375786,21,2025-03-01,21,万科A,lagged
-0.0016881662691674423,-0.20575050007556472,0.020600950976856436,21,2025-04-01,21,万科A,lagged
-0.0008339655655483489,-0.39007287465116147,0.11291241941074781,19,2025-05-01,19,万科A,lagged
-0.001594047508317267,-0.04904490021884217,0.0009732488657290261,20,2025-06-01,20,万科A,lagged
0.0005808501823840254,-0.1411480594541613,0.0014813258117569728,23,2025-07-01,23,万科A,lagged
0.0002759754809180029,0.7124086146637985,0.09633914452268799,21,2025-08-01,21,万科A,lagged
0.00065407524371082,0.09017822017870719,0.003156145464801252,22,2025-09-01,22,万科A,lagged
-0.0054857088719051875,-0.0021261969114730606,8.883319927655009e-06,17,2025-10-01,17,万科A,lagged
-0.008105616197077878,-0.3190346457799906,0.02602658267065605,20,2025-11-01,20,万科A,lagged
-0.00455642154545798,-1.0625758044232385,0.07344451586617606,23,2025-12-01,23,万科A,lagged
0.0012183233403469111,-0.0709723497659733,0.0028364273266413553,17,2025-01-01,17,三一重工,lagged
0.0056008606643604695,0.717507351610015,0.08707484355069561,18,2025-02-01,18,三一重工,lagged
0.0020242598975314385,-0.5976804843968326,0.08562708040091915,21,2025-03-01,21,三一重工,lagged
-0.0006073590870764992,-0.22085708194013548,0.033944773977096165,21,2025-04-01,21,三一重工,lagged
0.0001911184192275897,-0.20842510860459051,0.008395106996638924,19,2025-05-01,19,三一重工,lagged
-0.0013436420810913983,0.010349797714249098,3.522092116292619e-05,20,2025-06-01,20,三一重工,lagged
0.0060815655723625035,-0.4864449766083642,0.005652244389481087,23,2025-07-01,23,三一重工,lagged
0.0025726703977006302,0.019998936883131174,0.0001886239879591578,21,2025-08-01,21,三一重工,lagged
0.005291120911327366,-0.35968146205623663,0.04336704726470475,22,2025-09-01,22,三一重工,lagged
-0.001694258961896997,-0.18799988355203073,0.014988501437302904,17,2025-10-01,17,三一重工,lagged
-0.004171644185429015,-0.0153986303790834,7.399379663752814e-05,20,2025-11-01,20,三一重工,lagged
0.0028496876838486167,-0.8040400239644143,0.1700779372323501,23,2025-12-01,23,三一重工,lagged
-0.00042748126631754664,0.12034993938895734,0.007968797497535873,17,2025-01-01,17,三七互娱,lagged
0.002835124630788528,-0.8983545115154838,0.09063819824262154,18,2025-02-01,18,三七互娱,lagged
-0.0006063836457848161,-0.12866587098276663,0.00809571438237422,21,2025-03-01,21,三七互娱,lagged
0.0014172158465732714,0.04088687021137258,0.0005442718809044456,21,2025-04-01,21,三七互娱,lagged
0.0014583633163375706,-0.9783657713838692,0.3581924348350388,19,2025-05-01,19,三七互娱,lagged
0.009097730470700376,-0.77572511461123,0.050312987210373694,20,2025-06-01,20,三七互娱,lagged
-0.006487889397475927,2.0564177958309333,0.08930857778039991,23,2025-07-01,23,三七互娱,lagged
0.005459681553783272,0.835097521988484,0.12357287928940652,21,2025-08-01,21,三七互娱,lagged
0.005629998593344355,-0.032583400381342664,8.803697590531456e-05,22,2025-09-01,22,三七互娱,lagged
-0.0013112937675821084,-0.8172280173813917,0.13660128740154331,17,2025-10-01,17,三七互娱,lagged
-0.002497005821870735,-1.4413653634407466,0.1890913750403338,20,2025-11-01,20,三七互娱,lagged
0.006766536486745937,-0.4615243156301493,0.028613469463373065,23,2025-12-01,23,三七互娱,lagged
0.008538663820697163,1.0260827361845952,0.12419135319941943,17,2025-01-01,17,三六零,lagged
0.004156777806591634,-1.641652436428757,0.07820628224431547,18,2025-02-01,18,三六零,lagged
-0.003168170645086167,-0.2623294131346063,0.014916003181832949,21,2025-03-01,21,三六零,lagged
9.541853097788666e-05,0.25236604055662454,0.022222232269666575,21,2025-04-01,21,三六零,lagged
0.0008157561958710836,-1.0484302961035499,0.09517978459304799,19,2025-05-01,19,三六零,lagged
